ARMS_unit,Station,QC_comment,QC_param,QC_value_plutoF,QC_value_gsheets
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
BojaVida,GulfOfPiran,Observatory not found in GS,Observatory,GulfOfPiran,
Nuuk1,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Nuuk2,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Nuuk3,Nuuk,Observatory not found in GS,Observatory,Nuuk,
Daneborg2,Daneborg,Observatory not found in GS,Observatory,Daneborg,
Daneborg3,Daneborg,Observatory not found in GS,Observatory,Daneborg,
Daneborg1,Daneborg,Observatory not found in GS,Observatory,Daneborg,
G2,Getxo,Observatory not found in GS,Observatory,Getxo,
G2,Getxo,Observatory not found in GS,Observatory,Getxo,
G1,Getxo,Observatory not found in GS,Observatory,Getxo,
G1,Getxo,Observatory not found in GS,Observatory,Getxo,
G3,Getxo,Observatory not found in GS,Observatory,Getxo,
G3,Getxo,Observatory not found in GS,Observatory,Getxo,
GDY1,Gdynia,Observatory not found in GS,Observatory,Gdynia,
GDY1,Gdynia,Observatory not found in GS,Observatory,Gdynia,
GDY1,Gdynia,Observatory not found in GS,Observatory,Gdynia,
GDY1,Gdynia,Observatory not found in GS,Observatory,Gdynia,
2UBPC,Crete,Observatory not found in GS,Observatory,Crete,
2UBPC,Crete,Observatory not found in GS,Observatory,Crete,
2UBPC,Crete,Observatory not found in GS,Observatory,Crete,
2UBPC,Crete,Observatory not found in GS,Observatory,Crete,
2UBPC,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
1HERP,Crete,Observatory not found in GS,Observatory,Crete,
Gurr3,Galway,Observatory not found in GS,Observatory,Galway,
Gurr3,Galway,Observatory not found in GS,Observatory,Galway,
Gurr3,Galway,Observatory not found in GS,Observatory,Galway,
Gurr2,Galway,Observatory not found in GS,Observatory,Galway,
Gurr2,Galway,Observatory not found in GS,Observatory,Galway,
Gurr2,Galway,Observatory not found in GS,Observatory,Galway,
Gurr1,Galway,Observatory not found in GS,Observatory,Galway,
Gurr1,Galway,Observatory not found in GS,Observatory,Galway,
Gurr1,Galway,Observatory not found in GS,Observatory,Galway,
Gurr4,Galway,Observatory not found in GS,Observatory,Galway,
Laeso3,Laeso,Observatory not found in GS,Observatory,Laeso,
Laeso3,Laeso,Observatory not found in GS,Observatory,Laeso,
Laeso1,Laeso,Observatory not found in GS,Observatory,Laeso,
Laeso1,Laeso,Observatory not found in GS,Observatory,Laeso,
Laeso2,Laeso,Observatory not found in GS,Observatory,Laeso,
Laeso2,Laeso,Observatory not found in GS,Observatory,Laeso,
Green33,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Green33,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Green33,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Red2,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Red2,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Red2,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Yellow8,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Yellow8,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Yellow8,Limfjord,Observatory not found in GS,Observatory,Limfjord,
Yellow8,Limfjord,Observatory not found in GS,Observatory,Limfjord,
GStraB,Bodo,Observatory not found in GS,Observatory,Bodo,
GStraB,Bodo,Observatory not found in GS,Observatory,Bodo,
GStraM,Bodo,Observatory not found in GS,Observatory,Bodo,
GStraM,Bodo,Observatory not found in GS,Observatory,Bodo,
Gbg4,SWC,Observatory not found in GS,Observatory,SWC,
Bjorko1,SWC,Observatory not found in GS,Observatory,SWC,
Hjuvik1,SWC,Observatory not found in GS,Observatory,SWC,
Gbg1,SWC,Observatory not found in GS,Observatory,SWC,
Gbg2,SWC,Observatory not found in GS,Observatory,SWC,
Gbg3,SWC,Observatory not found in GS,Observatory,SWC,
Varberg1,SWC,Observatory not found in GS,Observatory,SWC,
Varberg2,SWC,Observatory not found in GS,Observatory,SWC,
Varberg3,SWC,Observatory not found in GS,Observatory,SWC,
Marstrand2,SWC,Observatory not found in GS,Observatory,SWC,
Marstrand3,SWC,Observatory not found in GS,Observatory,SWC,
Helsingborg1,SWC,Observatory not found in GS,Observatory,SWC,
Helsignborg2,SWC,ARMS ID not found in GS,ARMS_ID,Helsignborg2,
Helsignborg2,SWC,Observatory not found in GS,Observatory,SWC,
Marstrand1,SWC,Observatory not found in GS,Observatory,SWC,
Preemraff2,SWC,Observatory not found in GS,Observatory,SWC,
Preemraff1,SWC,Observatory not found in GS,Observatory,SWC,
SHNP1,SchleswigHolstein,Observatory not found in GS,Observatory,SchleswigHolstein,
RavM2,RavMarina,Observatory not found in GS,Observatory,RavMarina,
RavM3,RavMarina,Observatory not found in GS,Observatory,RavMarina,
RavM1,RavMarina,Observatory not found in GS,Observatory,RavMarina,
RavH1,RavHarbour,Observatory not found in GS,Observatory,RavHarbour,
RavH2,RavHarbour,Observatory not found in GS,Observatory,RavHarbour,
RavH3,RavHarbour,Observatory not found in GS,Observatory,RavHarbour,
Ven3,AdriaticEastCoast,Observatory not found in GS,Observatory,AdriaticEastCoast,
Ven1,AdriaticEastCoast,Observatory not found in GS,Observatory,AdriaticEastCoast,
Ven2,AdriaticEastCoast,Observatory not found in GS,Observatory,AdriaticEastCoast,
HangarCove1,GBR,Observatory not found in PlutoF,Observatory,,GBR
HangarCove2,GBR,Observatory not found in PlutoF,Observatory,,GBR
HangarCove3,GBR,Observatory not found in PlutoF,Observatory,,GBR
SouthCove1,GBR,Observatory not found in PlutoF,Observatory,,GBR
Cheshire1,GBR,Observatory not found in PlutoF,Observatory,,GBR
MBA1,GBR,Observatory not found in PlutoF,Observatory,,GBR
MBA2,GBR,Observatory not found in PlutoF,Observatory,,GBR
MBA1A,GBR,Observatory not found in PlutoF,Observatory,,GBR
MBA1B,GBR,Observatory not found in PlutoF,Observatory,,GBR
MBA1C,GBR,Observatory not found in PlutoF,Observatory,,GBR
MarBloR1,FRA,Observatory not found in PlutoF,Observatory,,FRA
MarBloR2,FRA,Observatory not found in PlutoF,Observatory,,FRA
MarBloR3,FRA,Observatory not found in PlutoF,Observatory,,FRA
BasBloS1,FRA,Observatory not found in PlutoF,Observatory,,FRA
BasBloS2,FRA,Observatory not found in PlutoF,Observatory,,FRA
BasBloS3,FRA,Observatory not found in PlutoF,Observatory,,FRA
TorallaA,ESP,Observatory not found in PlutoF,Observatory,,ESP
TorallaB,ESP,Observatory not found in PlutoF,Observatory,,ESP
TorallaC,ESP,Observatory not found in PlutoF,Observatory,,ESP
Angbat,FIN,Observatory not found in PlutoF,Observatory,,FIN
Spikarna,FIN,Observatory not found in PlutoF,Observatory,,FIN
Kummelkobben,FIN,Observatory not found in PlutoF,Observatory,,FIN
Fornace,SVN,Observatory not found in PlutoF,Observatory,,SVN
BojaVida,SVN,Observatory not found in PlutoF,Observatory,,SVN
LukaKP,SVN,Observatory not found in PlutoF,Observatory,,SVN
S1,NOR,Observatory not found in PlutoF,Observatory,,NOR
S2,NOR,Observatory not found in PlutoF,Observatory,,NOR
S1C,NOR,Observatory not found in PlutoF,Observatory,,NOR
S1B,NOR,Observatory not found in PlutoF,Observatory,,NOR
S1A,NOR,Observatory not found in PlutoF,Observatory,,NOR
GDY1,POL,Observatory not found in PlutoF,Observatory,,POL
VH1,SWE,Observatory not found in PlutoF,Observatory,,SWE
VH2,SWE,Observatory not found in PlutoF,Observatory,,SWE
VH3,SWE,Observatory not found in PlutoF,Observatory,,SWE
Preemraff1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Preemraff2,SWE,Observatory not found in PlutoF,Observatory,,SWE
Marstrand1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Marstrand2,SWE,Observatory not found in PlutoF,Observatory,,SWE
Marstrand3,SWE,Observatory not found in PlutoF,Observatory,,SWE
Helsingborg1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Helsingborg2,SWE,ARMS ID not found in PlutoF,ARMS_ID,,Helsingborg2
Helsingborg2,SWE,Observatory not found in PlutoF,Observatory,,SWE
Varberg1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Varberg2,SWE,Observatory not found in PlutoF,Observatory,,SWE
Varberg3,SWE,Observatory not found in PlutoF,Observatory,,SWE
Gbg1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Gbg2,SWE,Observatory not found in PlutoF,Observatory,,SWE
Gbg3,SWE,Observatory not found in PlutoF,Observatory,,SWE
Gbg4,SWE,Observatory not found in PlutoF,Observatory,,SWE
Bjorko1,SWE,Observatory not found in PlutoF,Observatory,,SWE
Hjuvik1,SWE,Observatory not found in PlutoF,Observatory,,SWE
1HERP,GRC,Observatory not found in PlutoF,Observatory,,GRC
2UBPC,GRC,Observatory not found in PlutoF,Observatory,,GRC
NR1,ISR,Observatory not found in PlutoF,Observatory,,ISR
Katza1,ISR,Observatory not found in PlutoF,Observatory,,ISR
NR2,ISR,Observatory not found in PlutoF,Observatory,,ISR
Katza2,ISR,Observatory not found in PlutoF,Observatory,,ISR
Nuuk1,GRL,Observatory not found in PlutoF,Observatory,,GRL
Nuuk2,GRL,Observatory not found in PlutoF,Observatory,,GRL
Nuuk3,GRL,Observatory not found in PlutoF,Observatory,,GRL
Daneborg1,GRL,Observatory not found in PlutoF,Observatory,,GRL
Daneborg2,GRL,Observatory not found in PlutoF,Observatory,,GRL
Daneborg3,GRL,Observatory not found in PlutoF,Observatory,,GRL
Yellow8,DNK,Observatory not found in PlutoF,Observatory,,DNK
Green33,DNK,Observatory not found in PlutoF,Observatory,,DNK
Red2,DNK,Observatory not found in PlutoF,Observatory,,DNK
Laeso1,DNK,Observatory not found in PlutoF,Observatory,,DNK
Laeso2,DNK,Observatory not found in PlutoF,Observatory,,DNK
Laeso3,DNK,Observatory not found in PlutoF,Observatory,,DNK
G1,ESP,Observatory not found in PlutoF,Observatory,,ESP
G2,ESP,Observatory not found in PlutoF,Observatory,,ESP
G3,ESP,Observatory not found in PlutoF,Observatory,,ESP
GStraM,NOR,Observatory not found in PlutoF,Observatory,,NOR
GStraB,NOR,Observatory not found in PlutoF,Observatory,,NOR
Gurr1,IRL,Observatory not found in PlutoF,Observatory,,IRL
Gurr2,IRL,Observatory not found in PlutoF,Observatory,,IRL
Gurr3,IRL,Observatory not found in PlutoF,Observatory,,IRL
Gurr4,IRL,Observatory not found in PlutoF,Observatory,,IRL
SHNP4,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP4
SHNP4,DEU,Observatory not found in PlutoF,Observatory,,DEU
SHNP3,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP3
SHNP3,DEU,Observatory not found in PlutoF,Observatory,,DEU
SHNP2,DEU,ARMS ID not found in PlutoF,ARMS_ID,,SHNP2
SHNP2,DEU,Observatory not found in PlutoF,Observatory,,DEU
SHNP1,DEU,Observatory not found in PlutoF,Observatory,,DEU
AZFPout,BEL,Observatory not found in PlutoF,Observatory,,BEL
AZFPin,BEL,Observatory not found in PlutoF,Observatory,,BEL
AZBE1,BEL,Observatory not found in PlutoF,Observatory,,BEL
AZBW1,BEL,Observatory not found in PlutoF,Observatory,,BEL
AJJC81,BEL,Observatory not found in PlutoF,Observatory,,BEL
AJJC86,BEL,Observatory not found in PlutoF,Observatory,,BEL
AJJCD78,BEL,Observatory not found in PlutoF,Observatory,,BEL
AJJCD89,BEL,Observatory not found in PlutoF,Observatory,,BEL
BirkenfelsA,BEL,Observatory not found in PlutoF,Observatory,,BEL
BirkenfelsB,BEL,Observatory not found in PlutoF,Observatory,,BEL
CoastbustersA,BEL,Observatory not found in PlutoF,Observatory,,BEL
AJJBC89,BEL,Observatory not found in PlutoF,Observatory,,BEL
CPowerA,BEL,Observatory not found in PlutoF,Observatory,,BEL
CPowerB,BEL,Observatory not found in PlutoF,Observatory,,BEL
CPowerC,BEL,Observatory not found in PlutoF,Observatory,,BEL
RavH3,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavH2,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavH1,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavM2,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavM3,ITA,Observatory not found in PlutoF,Observatory,,ITA
RavM1,ITA,Observatory not found in PlutoF,Observatory,,ITA
Ven1,ITA,Observatory not found in PlutoF,Observatory,,ITA
Ven2,ITA,Observatory not found in PlutoF,Observatory,,ITA
Ven3,ITA,Observatory not found in PlutoF,Observatory,,ITA
