ARMS_unit,Station,QC_comment,QC_param,QC_value_plutoF,QC_value_gsheets
Gbg4,SWE,OK,,,
Hjuvik1,SWE,OK,,,
Bjorko1,SWE,OK,,,
Marstrand3,SWE,OK,,,
Marstrand2,SWE,OK,,,
Marstrand1,SWE,OK,,,
Preemraff1,SWE,OK,,,
Preemraff2,SWE,OK,,,
Spikarna,FIN,OK,,,
Angbat,FIN,OK,,,
Kummelkobben,FIN,OK,,,
Kolaviken,FIN,OK,,,
TorallaA,ESP,OK,,,
TorallaB,ESP,OK,,,
TorallaC,ESP,OK,,,
TorallaD,ESP,ARMS ID not found in PlutoF,ARMS_ID,,TorallaD
