Sample Region (country),Country ISO3letter code,Observatory-ID (corrected),ARMS-ID (corrected),Latitude,Longitude,Depth (m),Field replicates,Monitoring area,Habitat keywords (env_local),Notes,
Antarctica (UK),GBR,Rothera,HangarCove1,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,LHI (Low human influence),,
Antarctica (UK),GBR,Rothera,HangarCove2,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,LHI (Low human influence),,
Antarctica (UK),GBR,Rothera,HangarCove3,-67.5641667,-68.1249667,12,y; HangarCove,LTER site,LHI (Low human influence),,
Antarctica (UK),GBR,Rothera,SouthCove1,-67.575,-68.1346667,21,y; SouthCove,LTER site,LHI (Low human influence),Needs a more precise lat,
Antarctica (UK),GBR,Rothera,Cheshire1,-67.5738333,-68.1252333,20,y; Cheshire,LTER site,LHI (Low human influence),,
British channel (UK),GBR,Plymouth,MBA1,50.3674,-4.1552,1,"y, MBA",Marina,semi-industrial,,
British channel (UK),GBR,Plymouth,MBA2,50.350134,-4.159167,10,"y, MBA",Marina,semi-industrial,,
British channel (UK),GBR,Plymouth,MBA1A,50.3673,-4.1554,2,"y, MBA1",Marina,semi-industrial,,
British channel (UK),GBR,Plymouth,MBA1B,50.3668,-4.1561,2,"y, MBA1",Marina,semi-industrial,,
British channel (UK),GBR,Plymouth,MBA1C,50.3674,-4.1544,2,"y, MBA1",Marina,semi-industrial,,
British channel (France),FRA,Roscoff,MarBloR1,48.71751,-3.96649,1,y ; MarBloR,Marina,semi-industrial,,
British channel (France),FRA,Roscoff,MarBloR2,48.71751,-3.96649,1,y ; MarBloR,Marina,semi-industrial,,
British channel (France),FRA,Roscoff,MarBloR3,48.71751,-3.96649,1,y ; MarBloR,Marina,semi-industrial,,
British channel (France),FRA,Roscoff,BasBloS1,48.72872,-3.95894,12,y; BasBloS,MPA,protected,,
British channel (France),FRA,Roscoff,BasBloS2,48.72872,-3.95894,12,y; BasBloS,MPA,protected,,
British channel (France),FRA,Roscoff,BasBloS3,48.72872,-3.95894,12,y; BasBloS,MPA,protected,,
Atlantic coast (Spain),ESP,Vigo,TorallaA,42.233333,-8.783333,12,y; Toralla,Industrial port,industrial,,
Atlantic coast (Spain),ESP,Vigo,TorallaB,42.233333,-8.783333,12,y; Toralla,Industrial port,industrial,,
Atlantic coast (Spain),ESP,Vigo,TorallaC,42.233333,-8.783333,12,y; Toralla,Industrial port,industrial,,
Baltic Sea (Finland),FIN,TZS,Angbat,59.841505,23.248879,4,y; Angbat,MPA; LTER site; continuous hydrographic monitoring,LHI (Low human influence),,
Baltic Sea (Finland),FIN,TZS,Spikarna,59.81094,23.206216,3,y; Spikarna,MPA; LTER site,LHI (Low human influence),,
Baltic Sea (Finland),FIN,TZS,Kummelkobben,59.86442,23.265084,6,y; Kummelkobben,LTER site; close to industrial port; continuous hydrographic monitoring,LHI (Low human influence),,
Mediterranean (Slovenia),SVN,GulfOfPiran,Fornace,45.5188,13.5673,9,y; Fornace,Research site,semi-industrial,arms units have different names in the omics and event tab and plutof; need to know which ones from there are the 3 ones from here,
Mediterranean (Slovenia),SVN,GulfOfPiran,BojaVida,45.54875,13.5507,22,y; BojaVida,LTER site,LHI (Low human influence), , 
Mediterranean (Slovenia),SVN,GulfOfPiran,LukaKP,45.564856,13.743586,3,y; LukaKP,not provided,industrial, , 
Svalbard (Norway),NOR,Svalbard,S1,78.21302778,15.23361111,14,y; S,LTER site,LHI (Low human influence),,
Svalbard (Norway),NOR,Svalbard,S2,78.18833333,15.14472222,14,y; S,LTER site,LHI (Low human influence),,
Svalbard (Norway),NOR,Svalbard,S1C,78.21302778,15.23361111,14,y; S1,LTER site,LHI (Low human influence),,
Svalbard (Norway),NOR,Svalbard,S1B,78.21302778,15.23361111,14,y; S1,LTER site,LHI (Low human influence),,
Svalbard (Norway),NOR,Svalbard,S1A,78.21302778,15.23361111,14,y; S1,LTER site,LHI (Low human influence),,
Baltic Sea (Poland),POL,Gdynia,GDY1,54.48522,18.57111,4,y; GDY,LTER site; MPA,LHI (Low human influence),,
North Sea Skagerrak (Sweden),SWE,Koster,VH1,58.875155,11.103194,24,y; VH,MPA,protected,,
North Sea Skagerrak (Sweden),SWE,Koster,VH2,58.87633,11.111884,22,y; VH,MPA,protected,,
North Sea Skagerrak (Sweden),SWE,Koster,VH3,58.859877,11.080491,25,y; VH,MPA,protected,,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff1,58.3533,11.43486,3,y; Preemraff,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Preemraff2,58.35405,11.43394,3,y; Preemraff,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand1,57.914434,11.594154,5,y; Marstrand,Marina,semi-industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand2,57.903512,11.581548,5,y; Marstrand,Marina,semi-industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Marstrand3,57.889278,11.585722,5,y; Marstrand,Marina,semi-industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg1,56.026272,12.695728,2,y; Helsingborg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Helsingborg2,56.018061,12.700541,2,y; Helsingborg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg1,57.1133741,12.2299832,2,y; Varberg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg2,57.1126278,12.2302732,2,y; Varberg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Varberg3,57.1107004,12.2439775,2,y; Varberg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg1,57.664805,11.714735,6,y; Gbg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg2,57.664608,11.732876,24,y; Gbg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg3,57.680533,11.740578,8,y; Gbg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Gbg4,57.680805,11.728331,6,y; Gbg,Industrial port,industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Bjorko1,57.717984,11.679989,2,y; Bjorko,Marina,semi-industrial,,
North Sea Kattegat (Sweden),SWE,SWC,Hjuvik1,57.703221,11.711363,2,y; Hjuvik,Marina,semi-industrial,,
Mediterranean (Greece),GRC,Crete,1HERP,35.343153,25.136605,4,y; 1HERP,Marina/Harbour,semi-industrial,,
Mediterranean (Greece),GRC,Crete,2UBPC,35.34662,25.27876,21,y; 1UBPC,UBP,semi-industrial,,
Gulf of Aqaba (Israel),ISR,Eilat,NR1,29.50555,34.920278,10,y; NR,LTER site,LHI (Low human influence),"Even tho these sites are at the same place, the sampling events date ranges are different (were retrieved at different times) and hence they are not really field replicates",
Gulf of Aqaba (Israel),ISR,Eilat,Katza1,29.520000,34.934444,10,y; Katza,Industrial port,industrial,"Even tho these sites are at the same place, the sampling events date ranges are different (were retrieved at different times) and hence they are not really field replicates",
Gulf of Aqaba (Israel),ISR,Eilat,NR2,29.50555,34.920278,10,y; NR,LTER site,LHI (Low human influence),"Even tho these sites are at the same place, the sampling events date ranges are different (were retrieved at different times) and hence they are not really field replicates",
